Brand,Type,Gender,Color,Price,Ship To,Date Listed,Date Sold,Sample,Item Title
Frye,,,,75.00,CO,,2022-12-29,no,"Frye Melissa Knotted Short, BLK, sz 6"
Vionic,,,,68.00,IL,,2023-01-30,no,"NWOB Vionic Mason loafer, sz 9, brown"
,,,,18.00,AZ,,2023-01-30,no,"Sesame Street Elmo, Cookie Monster bag"
Aquatalia,,,,42.00,CA,,2023-05-15,no,"NWOB Aquatalia Pasha heel, 6.5, maroon"
adidas,,,,28.00,GA,,2023-07-12,no,"NWT adidas next level back plate, black (one)"
Coach,,,,56.00,MD,,2023-09-10,no,"NIB Coach Desaree Pump, magenta, sz 9.5"
,,,,17.00,NV,,2023-10-04,no,Givenchy dust bag black
Coclico,,,,34.00,CA,,2023-10-13,no,"Coclico Wedge Sandal, sz 39, Red"
,,,,20.00,MA,,2023-12-16,no,Active \ Skincare Shower in a Bottle 6oz
Coach,,,,32.40,CA,,2024-02-07,no,"Coach low heels, brown, sz 6"
Frye,,,,32.00,NY,,2024-02-10,no,Frye mindy slip on sz 7 BLACK
,,,,15.00,NC,,2024-03-03,no,Givenchy dustbag black
Coach,,,,30.00,MT,,2024-06-04,no,"Coach Buckle Flats, sz 6.5, white/tan"
adidas,,,,26.00,OH,,2024-08-08,no,"NWT adidas next level backplate, chrome (ONE)"
Frye,,,,79.00,HI,,2024-09-27,no,"Frye Veronica Short boots, Lilac, sz 6"
YSL,,,,32.00,WA,,2024-12-01,no,New YSL All Hours foundation - cool almond BR30
Chanel,,,,18.75,TX,,2024-12-03,no,"Chanel paper shopping bag, black"
Frye,,,,170.00,GA,,2024-12-27,no,Frye Perf Tote - Tan // LIKE NEW
,,,,19.00,WA,,2025-01-29,no,"NWT Satin Short Sleeve Notch Collar Top and Shorts Pajama Set, Navy Blue, Sz M"
,,,,25.00,NY,,2025-01-30,no,"New in box DMI Deluxe Therapeutic Heating Pad, grey, 12x24"
Tory Burch,,,,43.74,FL,,2025-03-05,no,Tory Burch Flat Espadrille - gold sz 7.5
,,,,25.00,OH,,2025-03-10,no,"NWT Saturday Night Live x No Rivals SnapBack, maroon/beige"
,,,,28.25,CO,,2025-03-11,no,"NWOT Katy Perry make up pouch, multi"
,,,,10.50,MD,,2025-03-20,no,Waterproof 30-60° Vid Doorbell Angle Mount  1/2/3/3Plus/4/Wired/Pro/Pro2/(2020 R
Abercrombie & Fitch,,,,49.00,WV,,2025-05-04,no,"NWT Abercrombie & Fitch Linen Blend Mini dress, beige, Sz L"
Conair,,,,20.00,NY,,2025-06-29,no,NIB CONAIR digital food scale
Steve Madden,,,,34.66,MI,,2025-07-17,no,Steve Madden Slithur-Nude-7.5
Merona,,,,19.50,CA,,2025-07-25,no,"NWT Merona Flats, lime yellow, sz 11"
,,,,22.22,PA,,2025-09-09,no,"NWT Womens’ecret Body Suit, Nude, M"
Gucci,,,,32.50,TX,,2025-09-29,no,"Like New Gucci large frame (sun) glasses case, bronze"
,,,,16.20,VA,,2025-10-06,no,"NEW Kaftan from Morocco, red/silver/brown, one size"
Oysho,,,,14.58,NY,,2025-10-15,no,"NWT Oysho lace bra lingerie, black, sz 38b"
Capezio,,,,25.52,FL,,2025-10-18,no,"NWOB Capezio E series slip on jazz shoes, black, Sz 6"
Frye,,,,120.00,CA,,2026-05-25,no,"NWOB FRYE Deborah Studded Zip wallet, whiskey (brown)"
,,,,29.16,UT,,2026-06-14,no,"NWT Convertible carry on Garment Bag - 2 in 1 Hanging Suitcase, unisex, gray"
Abercrombie & Fitch,,,,72.00,OK,,2026-06-15,no,"NWT Abercrombie & Fitch cropped trench jacket, size Large, camel"
,,,,18.70,PA,,2026-07-30,no,"NIB CAKES Body Soft Silicone Bra Inserts - HONEY, OG (B-DD)"
Quay,,,,41.00,IL,,2026-08-04,no,Quay Jackpot Olive Green Frame Sunglasses with case
