Brand,Type,Gender,Color,List Price,Date Listed,Sample
Frye,Bags,Women,Brown,159.00,2025-01-26,no
Frye,Bags,Women,Brown,187.00,2025-01-31,no
Coach,Shoes,Women,Gray,148.00,2025-02-02,no
Frye,Shoes,Women,Brown,140.00,2025-02-03,no
Gildan,Tops,Women,Blue,32.00,2025-02-09,no
Apple,Wearables,Electronics,White,30.00,2025-02-09,no
TNA,Jackets & Coats,Women,Black,189.00,2025-02-23,no
Tom Ford,Makeup,Women,Red,48.00,2025-03-01,no
Gildan,Tops,Women,Blue,31.00,2025-03-02,no
Lady Pipa,Dresses,Women,"Red, Pink",158.00,2025-03-02,no
,Bags,Women,Brown,44.00,2025-03-03,no
Abercrombie & Fitch,Dresses,Women,"Green, Blue",78.00,2025-03-05,no
Frye,Shoes,Women,Brown,192.00,2025-03-06,no
Coach,Shoes,Women,Black,115.00,2025-03-07,no
Frye,Bags,Women,"Cream, Tan",158.00,2025-03-10,no
Calvin Klein Jeans,Shoes,Women,"Green, Cream",92.00,2025-03-16,no
Tod's,Shoes,Women,Black,270.00,2025-03-17,no
Coach,Shoes,Women,"White, Brown",98.00,2025-03-18,no
Frye,Shoes,Women,Brown,135.00,2025-03-30,no
Jimmy Choo,Shoes,Women,Gold,393.00,2025-04-11,no
Frye,Shoes,Women,Brown,115.00,2025-05-03,no
Calvin Klein,Shoes,Women,White,69.00,2025-05-10,no
Frye,Shoes,Women,Brown,130.00,2025-06-14,no
Brighton,Jewelry,Women,Silver,32.00,2025-06-14,no
Godinger,Accents,Home,Silver,33.00,2025-08-21,no
Frye,Bags,Women,Brown,175.00,2025-08-23,no
FARM Rio,Dresses,Women,"Cream, Red",230.00,2025-08-28,no
Nike,Shoes,Women,"White, Green",190.00,2025-09-03,no
Frye,Shoes,Kids,Purple,89.00,2025-09-13,no
,Accessories,Women,"Green, Yellow",24.00,2025-09-20,no
Macy's,Jewelry,Women,"Cream, Gold",30.00,2025-09-21,no
emojinuity,Accessories,Women,"Yellow, Black",23.00,2025-09-24,no
Yves Saint Laurent,Other,Women,"Black, Gold",121.00,2025-10-14,no
Frye,Shoes,Women,Brown,167.00,2026-03-22,no
Frye,Shoes,Men,"Brown, Gray",278.00,2026-03-27,no
Frye,Bags,Women,Brown,238.00,2026-04-05,no
Frye,Bags,Women,Brown,169.00,2026-04-12,no
Zara,Shoes,Women,Gold,48.00,2026-04-17,no
PIKOLINOS,Bags,Women,Tan,150.00,2026-04-20,no
PIKOLINOS,Shoes,Women,"Cream, White",105.00,2026-04-20,no
Frye,Shoes,Women,"Black, Silver",98.00,2026-04-20,no
Taryn Rose,Shoes,Women,Black,100.00,2026-04-20,no
Calvin Klein,Shoes,Women,"Brown, Black",68.00,2026-04-20,no
Frye,Bags,Women,Black,248.00,2026-04-20,no
Frye,Shoes,Women,"Red, Brown",195.00,2026-04-20,no
Abercrombie & Fitch,Jackets & Coats,Women,Green,82.00,2026-05-02,no
Quechua,Shoes,Women,Gray,35.00,2026-05-02,no
Frye,Shoes,Women,"Brown, Tan",135.00,2026-05-03,no
Frye,Shoes,Women,"Tan, Black",180.00,2026-05-03,no
Ben Sherman,Shoes,Men,"Gray, White",115.00,2026-05-03,no
Rachel Zoe,Shoes,Women,Black,62.00,2026-05-06,no
Coach,Shoes,Women,"Brown, Black",155.00,2026-05-06,no
Coach,Bags,Women,"Black, Pink",92.00,2026-05-06,no
Frye,Shoes,Women,"Blue, Gray",100.00,2026-05-08,no
Lady Pipa,Dresses,Women,"Pink, Purple",130.00,2026-05-09,no
Church's,Shoes,Women,"Brown, Tan",495.00,2026-05-18,no
Frye,Bags,Women,"Brown, Gray",115.00,2026-06-02,no
lululemon athletica,Bags,Women,"Red, Purple",35.00,2026-07-14,no
,Dog,Pets,"White, Red",28.00,2026-07-15,no
Compania Fantastica,Tops,Women,"Blue, Cream",65.00,2026-07-16,no
Frye,Bags,Women,Green,138.00,2026-07-18,no
& Other Stories,Tops,Women,Black,65.00,2026-07-28,no
Final Touch,Kitchen,Home,"Black, Silver",19.00,2026-07-28,no
Via Spiga,Accessories,Women,"Silver, White",68.00,2026-07-28,no
PIKOLINOS,Shoes,Women,"Gray, Brown",115.00,2026-07-30,no
Joe's Jeans,Jackets & Coats,Women,"Blue, Pink",90.00,2026-07-30,no
English Factory,Tops,Women,Black,42.00,2026-07-30,no
H&M,Skirts,Women,Black,26.00,2026-07-30,no
PIKOLINOS,Shoes,Women,"Gray, Purple",125.00,2026-08-01,no
Golden Goose,Shoes,Women,"White, Gray",335.00,2026-08-03,no
Moussy,Dresses,Women,"Cream, Yellow",115.00,2026-08-08,no
Le Specs,Accessories,Women,Yellow,65.00,2026-08-12,no
Cortefiel,Pants & Jumpsuits,Women,"Black, White",41.00,2026-08-12,no
H&M,Skirts,Women,Black,38.00,2026-08-14,no
adidas,Shoes,Women,"Black, Gold",92.00,2026-08-16,no
,Accents,Home,"Blue, White",40.00,2026-08-17,no
Zara,Jackets & Coats,Women,Black,39.00,2026-08-19,no
Curad,Other,Home,Black,24.00,2026-08-19,no
Frye,Shoes,Women,Brown,220.00,2026-08-23,no
