Poshmark Sales Report for @omclosetgalore,"","",!ambassador sue,👩🏻‍💻!
12/31/2019 - 08/30/2026
Notes:
"** Only completed sales, where you have received earnings, are shown in this file."
** Bundles are displayed as itemized listings.
"** Order price for a bundle item is the listing price, minus the bundle discount or the offer discount, if either was applied."
"** Lowest set price is the lowest historical price set by the seller, not including offer or bundle discounts."
"** Seller shipping discount for an individual bundle item is the bundle item price, divided by the total bundle price, multiplied by the seller shipping discount for the total bundle."
"** Net earnings is order price, minus the seller shipping discount, minus Poshmark fees, minus tax if applicable."
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
"** If sales tax was collected from the buyer, it will be submitted to the state on your behalf. Please see Terms of Service for full details."
""
Listing Date,Order Date,SKU,Order Id,Listing Title,Department,Category,Subcategory,Brand,Color,Size,Bundle Order?,Offer Order,NWT,Cost Price,Order Price,Lowest Set Price,Seller Shipping Discount,Upgraded Shipping Label Fee,Packaging Fee,Hazmat Noncompliance Fee,Overweight Label Fee,Your Earnings,Buyer State,Buyer Zip Code,Buyer Username,Sales Tax (Paid by Buyer),Notes,Other Info
09/24/2019,03/23/2020,"",5e796ee4600ebc92f0a05eda,🆕 AFA Black Hat - Adidas Sport flat brim NWT,Men,Accessories,Hats,adidas,Black,OS,N,Y,Y,"",$12.00,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.05,NJ,07869,andresbrandon,$0.00,$0.00,This sale is exempt from sales tax.,
10/10/2019,03/25/2020,"",5e7c1f87e2e05739c3dba722,"Free People Lace Halter Bralette - green, Medium",Women,Intimates & Sleepwear,Bras,Free People,Green,M,N,Y,N,"",$12.00,$16.00,$2.12,$0.00,$0.00,$0.00,$0.00,$6.93,CA,93110,delij13nz4gfaa5,$0.93,$0.00,"",
09/24/2019,03/29/2020,"",5e80683574af47c5dd95a10a,"🆕 Kelsi Dagger Crossbody (yllw, gry, Blo, wht)",Women,Bags,Crossbody Bags,Kelsi Dagger,"Brown,Yellow",OS,N,Y,N,"",$30.00,$39.00,$7.11,$0.00,$0.00,$0.00,$0.00,$16.89,CA,94541,ashearer22,$2.93,$0.00,"",
10/20/2019,04/22/2020,"",5ea0ea43c0c9d357f440931d,"🆕 Copper Fit slide, white, Sz 7",Men,Shoes,Sandals & Flip-Flops,Copper Fit,White,7,N,N,Y,"",$20.00,$20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$16.00,IL,62946-5602,betsy8486,$1.69,$0.00,"",
08/28/2019,05/09/2020,"",5eb72013468232ff90e96d3c,EUC C. Wonder round toe chunky heel leopard Sz 7.5,Women,Shoes,Heels,C. Wonder,"Black,Yellow",7.5,N,N,N,"",$46.00,$46.00,$0.00,$0.00,$0.00,$0.00,$0.00,$36.80,AR,72023,janetbb,$5.04,$0.00,"",
05/17/2020,05/18/2020,"",5ec34ea3509fa8d0beabcb8a,🆕WOB Frye Melissa Slim Leather Wallet - Beige,Women,Bags,Wallets,Frye,"Cream,Tan",OS,N,N,N,"",$100.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$80.00,FL,32433,virgo9776,--,,State does not currently impose a sales tax.,
05/01/2020,05/15/2020,"",5ebf58e090476af4a77efd07,Frye Melissa Whipstitch Crossbody - beige (tan),Women,Bags,Crossbody Bags,Frye,"Cream,Tan",OS,N,Y,N,"",$110.00,$130.00,$0.00,$0.00,$0.00,$0.00,$0.00,$88.00,CA,95821,peri101010,$8.53,$0.00,"",
10/15/2019,05/27/2020,"",5ecd2e50208ccf3786c1bbd5,"(OBO) Gap wooden clog style heel - brown, Sz 7",Women,Shoes,Heels,GAP,Brown,7,N,N,N,"",$21.00,$20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$16.80,PA,19144,robertaplus6,$0.00,$0.00,This sale is exempt from sales tax.,""
08/15/2019,05/27/2020,"",5ecf4a5490476aeec199973a,Castañer x Aquatalia Platform Crisscross Sandal 37,Women,Shoes,Platforms,Aquatalia,"Blue,Orange",7,N,Y,N,"",$49.00,$64.00,$0.00,$0.00,$0.00,$0.00,$0.00,$39.20,TX,78703,cdiamand,$4.62,$0.00,"",
05/26/2020,05/28/2020,"",5ecfdfeb9ad46625cad8257e,🆕Frye Melissa Slim Wallet -brown,Women,Bags,Wallets,Frye,Brown,OS,N,Y,N,"",$80.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$64.00,NC,27527,dhacopy,$5.88,$0.00,"",
05/14/2020,05/27/2020,"",5ece5c8a0bee621c4227b28f,Frye leather Casey Wallet - Fatigue (green) (obo),Women,Bags,Wallets,Frye,Green,OS,N,Y,N,"",$85.00,$98.00,$0.00,$0.00,$0.00,$0.00,$0.00,$68.00,OH,45431,purdins,$6.22,$0.00,"",
09/13/2019,06/03/2020,"",5ed7d0b78ad6bbb5f421b563,"EUC MARC By Marc Jacobs Tote - Black, white letter",Women,Bags,Totes,Marc By Marc Jacobs,"Black,White",OS,N,Y,N,"",$65.00,$106.00,$0.00,$0.00,$0.00,$0.00,$0.00,$52.00,NJ,08536,caloi86,$4.78,$0.00,"",""
09/16/2019,06/06/2020,"",5edbf25f8ad6bb9fe5476d04,"(EUC) Pikolinos Ordino Suede Shootie, Brown, Sz 37",Women,Shoes,Ankle Boots & Booties,PIKOLINOS,Brown,7,N,Y,N,"",$47.00,$81.00,$0.00,$0.00,$0.00,$0.00,$0.00,$37.60,OH,45229,amandawg14,$3.79,$0.00,"",
06/02/2020,06/06/2020,"",5edb55e17a2502753541c0ca,🆕MAC bestseller Pro Longwear Fluidline BlackTrack,Women,Makeup,Eyeliner,MAC Cosmetics,Black,OS,N,Y,Y,"",$12.00,$14.00,$2.12,$0.00,$0.00,$0.00,$0.00,$6.93,CA,92833,ewoking84,$0.93,$0.00,"",
04/28/2020,06/09/2020,"",5ee03a3b99a63a2f272b7c6e,"Katy Perry ‘The Betsy’ Slide, Sz 7 -red blue multi",Women,Shoes,Sandals,Katy Perry Collections,"Red,Blue",7,N,Y,N,"",$20.00,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$16.00,MN,56442,channyb1020,$0.00,$0.00,This sale is exempt from sales tax.,
05/17/2020,06/10/2020,"",5ee1c3fd93a1e9686cee2737,🆕WOB Frye Melissa L Zip Wallet - moss (dark grn),Women,Bags,Wallets,Frye,"Green,Black",OS,N,Y,N,"",$76.00,$105.00,$2.12,$0.00,$0.00,$0.00,$0.00,$58.68,TX,77346,libbynepivoda,$5.87,$0.00,"",
06/11/2020,06/11/2020,"",5ee2de5699a63ab3953fb2dc,COPY - Tahari Lace pocket jumpsuit - white,Women,Pants & Jumpsuits,Jumpsuits & Rompers,Tahari,White,6,N,Y,N,"",$45.00,$67.00,$0.00,$0.00,$0.00,$0.00,$0.00,$36.00,CT,06066,hokansonemily,$3.31,$0.00,"",
06/26/2020,06/26/2020,"",5ef6d5b122e49f5c2b396010,Frye Alexis Slip On Sneaker - Black - Sz 7,Women,Shoes,Athletic Shoes,Frye,Black,7,N,Y,N,"",$60.00,$118.00,$0.00,$0.00,$0.00,$0.00,$0.00,$48.00,TX,79424,nigar_s,$5.54,$0.00,"",
05/05/2020,06/26/2020,"",5ef6bf304a83e22bb1d73fe1,Frye Melissa Mini Saddle crossbody  - dark brown,Women,Bags,Crossbody Bags,Frye,Brown,OS,N,Y,N,"",$60.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$48.00,SC,29560,dculick,$5.37,$0.00,"",
11/03/2019,07/13/2020,"",5f0d23f172c246f47787175b,🆕Timberland men’s socks (3 pairs) BLK/gry Sz 7-10,Men,Underwear & Socks,Casual Socks,Timberland,"Black,Gray",OS,N,N,Y,"",$7.00,$7.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.05,GA,30047,the_fabricator,$0.84,$0.00,"",
03/10/2019,07/29/2020,"",5f2182a5afe96bb792c891f2,"Calvin Klein open toe pumps, black, Sz 7.5",Women,Shoes,Heels,Calvin Klein,Black,7.5,N,Y,N,"",$12.00,$22.00,$2.12,$0.00,$0.00,$0.00,$0.00,$6.93,CA,93307,mustlovecouture,$0.99,$0.00,"",
07/17/2020,08/01/2020,"",5f25d7c57457adba6d2609c6,Alterna Hemp Hair Shine spray,Women,Hair,Styling,Alterna,Orange,OS,N,N,N,"",$50.00,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,WI,53029,mzmax1313,$2.86,$0.00,"",
08/01/2020,08/09/2020,"",5f308e014ef56291f142fcc0,🆕Sharper Image Shiatsu Massage Pillow with Heat,Women,Accessories,"",Sharper Image,Gray,OS,N,N,Y,"",$45.00,$45.00,$0.00,$0.00,$0.00,$0.00,$0.00,$36.00,PA,18018,delvxv85iexhyfg,$3.13,$0.00,"",
07/03/2020,08/09/2020,"",5f309dd9b82990ec64e59421,🆕Onzie Skull Capri Pant Sz S/M & Sz L for sale,Women,Pants & Jumpsuits,Leggings,Onzie,"Black,White",S/M,N,Y,Y,"",$35.00,$35.00,$0.00,$0.00,$0.00,$0.00,$0.00,$28.00,TX,75067,lori0406,$0.00,$0.00,This sale is exempt from sales tax.,
09/22/2019,08/13/2020,"",5f35868ed08270e2f6a61e5f,MICHAEL - Michael Kors -Miami Sunglasses - Brown,Women,Accessories,Sunglasses,MICHAEL Michael Kors,"Brown,Gold",OS,N,Y,N,"",$25.00,$45.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,IL,60174,kimmi2526,$2.00,$0.00,"",
08/09/2020,08/21/2020,"",5f3fe36d22e49f2cefe59c43,Pikolinos Sagunto Inside ZIP - Black Sz 38,Women,Shoes,Heeled Boots,PIKOLINOS,Black,7,N,Y,N,"",$70.00,$95.00,$0.00,$0.00,$0.00,$0.00,$0.00,$56.00,IN,46237,sandia39,$4.90,$0.00,"",
07/25/2020,08/25/2020,"",5f45a6eb4220b51c314798ba,🆕Onzie High Rose Legging - Leopard - M/L,Women,Pants & Jumpsuits,Leggings,Onzie,"Brown,Tan",M/L,N,Y,Y,"",$45.00,$55.00,$7.11,$0.00,$0.00,$0.00,$0.00,$28.89,CA,91607,mab28,$4.27,$0.00,"",
08/15/2020,08/24/2020,"",5f4463f451638bfd7c4ac552,Frye Ilana Short - Blk sz 7.5,Women,Shoes,Heeled Boots,Frye,Black,7.5,N,N,N,"",$118.00,$118.00,$0.00,$0.00,$0.00,$0.00,$0.00,$94.40,CA,95959,cosmomosis,$8.86,$0.00,"",
05/17/2020,08/28/2020,"",5f49ad1371b5364dedb10df7,Kate Spade Monteclaire Embroidered Mule - Sz 7.5,Women,Shoes,Mules & Clogs,kate spade,"White,Pink",7.5,N,Y,N,"",$65.00,$128.00,$0.00,$0.00,$0.00,$0.00,$0.00,$52.00,PA,19127,quaileggs,$0.00,$0.00,This sale is exempt from sales tax.,
06/20/2020,09/02/2020,"",5f4f8976afe96b19cc778d94,"Rachel Zoe suede ankle wrap heel sandal, purple, 7",Women,Shoes,Sandals,Rachel Zoe,"Purple,Gold",7,N,Y,N,"",$45.00,$68.00,$7.11,$0.00,$0.00,$0.00,$0.00,$28.89,NY,11510,mpestanas,$2.08,$0.00,"",
05/28/2020,09/06/2020,"",5f54d641d872b42dd8b1e862,Frye Melissa Tote - moss(dark green-unreleased)OBO,Women,Bags,Totes,Frye,"Black,Brown",OS,N,Y,N,"",$138.00,$202.00,$7.11,$0.00,$0.00,$0.00,$0.00,$103.29,IL,60517,delh8kpvgy5me9q,$8.63,$0.00,"",
08/31/2019,09/06/2020,"",5f54c0b6b9190e2cbcfc1dc3,"EUC Pikolinos Baeza Sneaker, Sz 37, Nata (cream)",Women,Shoes,Sneakers,PIKOLINOS,"Cream,Red",7,N,Y,N,"",$40.00,$82.00,$7.11,$0.00,$0.00,$0.00,$0.00,$24.89,OR,97051,elh2m82,--,,State does not currently impose a sales tax.,
08/28/2019,09/12/2020,"",5f5d8b0d7176609331f6dbbd,"🆕 FRYE Deborah Lug Short -APU, Camel, Sz 7.5",Women,Shoes,Ankle Boots & Booties,Frye,Brown,7.5,N,Y,Y,"",$130.00,$227.00,$0.00,$0.00,$0.00,$0.00,$0.00,$104.00,SC,29108,ahamilton1992,$9.60,$0.00,"",
09/10/2020,09/11/2020,"",5f5b9ca8ca866430dbaff534,Frye Tassle Tote - Whiskey (Brown color),Women,Bags,Totes,Frye,Brown,OS,N,Y,N,"",$130.00,$200.00,$0.00,$0.00,$0.00,$0.00,$0.00,$104.00,SC,29108,ahamilton1992,$9.60,$0.00,"",
08/29/2019,09/14/2020,"",5f5ffd936ab2f46866104186,PIKOLINOS Passport Holder (new condition/nwot),Women,Other,"",PIKOLINOS,"Red,Brown",OS,N,Y,N,"",$30.00,$63.00,$7.11,$0.00,$0.00,$0.00,$0.00,$16.89,FL,34711,osprey0402,--,,State does not currently impose a sales tax.,
03/27/2020,09/13/2020,"",5f5e19964e46e1459549c2c8,NWOT Frye Ilana Western Harness SM Xbody - Grey,Women,Bags,Crossbody Bags,Frye,Gray,OS,N,Y,N,"",$90.00,$148.00,$0.00,$0.00,$0.00,$0.00,$0.00,$72.00,PA,17402,crice002,$5.83,$0.00,"",
08/31/2020,09/13/2020,"",5f5eeaa94e46e16b24baac5c,Tous Silver Bear Pendant Leather choker,Women,Jewelry,Necklaces,Tous,"Silver,Black",OS,N,Y,N,"",$50.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,CA,95357,ericagomez1173,$3.94,$0.00,"",
09/13/2020,09/13/2020,"",5f5ee904e80523054c108811,🆕Frye Jenny Backpack/Shoulder - Drk Brown (NWT),Women,Bags,"",Frye,"Brown,Purple",OS,N,Y,Y,"",$150.00,$190.00,$0.00,$0.00,$0.00,$0.00,$0.00,$120.00,AL,36301,jmcclurern,$12.00,$0.00,"",
09/13/2020,09/16/2020,"",5f6253c3717660153fe020c6,"🆕Frye Tate Chelsea, Black, sz 7.5",Women,Shoes,Ankle Boots & Booties,Frye,Black,7.5,N,Y,Y,"",$118.00,$170.00,$7.11,$0.00,$0.00,$0.00,$0.00,$87.29,PA,19148,murran,$0.00,$0.00,This sale is exempt from sales tax.,
08/20/2020,09/15/2020,"",5f60fce08a92fb0909ec9386,Tom Ford Jennifer (199) Sunglasses - Blk Smoke Gry,Women,Accessories,Sunglasses,Tom Ford,"Black,Silver",OS,N,Y,N,"",$150.00,$162.00,$0.00,$0.00,$0.00,$0.00,$0.00,$120.00,TX,78738,debnev,$12.97,$0.00,"",
09/05/2020,09/18/2020,"",5f659f260f00c387680463b7,"Frye Ilana Saddle Crossbody, Tan",Women,Bags,Crossbody Bags,Frye,Tan,OS,N,Y,N,"",$70.00,$140.00,$0.00,$0.00,$0.00,$0.00,$0.00,$56.00,TN,37924,melialougheed,--,,State does not currently impose a sales tax.,
09/23/2020,09/23/2020,"",5f6bcc67584b3df20ad02ffc,Frye Selena crossbody - black,Women,Bags,Crossbody Bags,Frye,Black,OS,N,Y,N,"",$120.00,$135.00,$0.00,$0.00,$0.00,$0.00,$0.00,$96.00,CA,92064,startover09,$9.30,$0.00,"",
08/22/2019,09/24/2020,"",5f6d1bc623ff46a9c76d67a7,🆕 FRYE Cameron IPad Sleeve - Dark Brown,Women,Accessories,Tablet Cases,Frye,Brown,OS,N,Y,Y,"",$25.00,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,OR,97435,juliamarie1939,--,,State does not currently impose a sales tax.,
09/23/2020,10/07/2020,"",5f7eb10ab81de76ddcb49305,"🆕FRYE Flynn Mid Pull on, blk Sz 8",Women,Shoes,Heeled Boots,Frye,Black,8,N,Y,Y,"",$200.00,$210.00,$0.00,$0.00,$0.00,$0.00,$0.00,$160.00,WA,98221,delpqscnt6vtrxk,$17.60,$0.00,"",
08/22/2019,10/22/2020,"",5f915e2c3169b2bea458628c,FRYE x COACH Veronica Short Stnwsh BLK/GOLD Sz 7.5,Women,Shoes,Combat & Moto Boots,Frye,"Black,Gold",7.5,N,Y,N,"",$100.00,$106.00,$0.00,$0.00,$0.00,$0.00,$0.00,$80.00,SD,57701,ksturze,$6.96,$0.00,"",
10/09/2020,12/01/2020,"",5fc6c4c833f26fd19e57543e,"Frye Kelly front zip boots, white, sz 6",Women,Shoes,Ankle Boots & Booties,Frye,White,6,N,Y,N,"",$65.00,$80.00,$0.00,$0.00,$0.00,$0.00,$0.00,$52.00,WA,99301,anorajane13,$5.78,$0.00,"",
09/24/2020,04/25/2021,"",60853d5c20fc70548b1cc06a,"Rachel Zoe Leather Morrison Satchel, blk",Women,Bags,Satchels,Rachel Zoe,Black,OS,N,Y,N,"",$80.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$64.00,NJ,07712,elizabeth07003,$5.79,$0.00,"",
09/24/2020,05/01/2021,"",608d7cdc8be9136b82c0dbe3,Frye Sophie leather satchel - brown,Women,Bags,Satchels,Frye,Brown,OS,N,Y,N,"",$110.00,$180.00,$0.00,$0.00,$0.00,$0.00,$0.00,$88.00,NY,13021-4152,barnes5shopping,$9.40,$0.00,"",
09/23/2020,06/01/2021,"",60b6c216a82973bbe717c928,🆕Frye Selena Crossbody - chocolate,Women,Bags,Crossbody Bags,Frye,Brown,OS,N,Y,Y,"",$110.00,$175.00,$0.00,$0.00,$0.00,$0.00,$0.00,$88.00,WI,53092,filly2,$6.46,$0.00,"",
09/23/2020,06/04/2021,"",60ba5f0493a1e9271859b6ff,Frye Layla Concho crossbody -charcoal (gry/Brn),Women,Bags,Crossbody Bags,Frye,Brown,OS,N,Y,N,"",$115.00,$149.00,$0.00,$0.00,$0.00,$0.00,$0.00,$92.00,OR,97527,gritsngrace,--,,State does not currently impose a sales tax.,
05/28/2020,07/08/2021,"",60e7150d00b70dfa478b00a1,Frye Naomi Pickstitch Hobo - whiskey (brown),Women,Bags,Hobos,Frye,Brown,OS,N,Y,N,"",$190.00,$271.00,$7.45,$0.00,$0.00,$0.00,$0.00,$144.55,LA,70005,smpersigo,$17.49,$0.00,"",
09/13/2020,07/08/2021,"",60e75ab23751f53e5b0533e3,"Frye Carson Ankle Zip, Cognac (brown), sz 7",Women,Shoes,Sandals,Frye,Brown,7,N,Y,N,"",$30.00,$78.00,$0.00,$0.00,$0.00,$0.00,$0.00,$24.00,CA,92024,rcs1111,$2.33,$0.00,"",
07/10/2021,07/16/2021,"",60f1a1294e46e18bb25246db,Miu Miu Satchel/Crossbody Black/gold,Women,Bags,Satchels,Miu Miu,"Black,Gold",OS,N,Y,N,"",$100.00,$190.00,$7.45,$0.00,$0.00,$0.00,$0.00,$72.55,SC,29204,selwa87,$8.00,$0.00,"",
08/05/2019,07/14/2021,"",60efc10502bcafb842fd5127,Frye Michelle Crossbody In Dark Brown (like new),Women,Bags,Crossbody Bags,Frye,Brown,OS,N,Y,N,"",$50.00,$108.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,VA,24060,lulu_link,$2.65,$0.00,"",
08/08/2020,07/10/2021,"",60e9e527581a63df973edd8c,Birdies gold metallic flats Sz 7,Women,Shoes,Flats & Loafers,Birdies,"Blue,Gold",7,N,Y,N,"",$65.00,$100.00,$7.45,$0.00,$0.00,$0.00,$0.00,$44.55,CA,95119,jdelfava,$6.09,$0.00,"",
07/10/2021,07/18/2021,"",60f4bcc6e1d99046df0f68ce,Frye Adeline Tote - Fatigue (green),Women,Bags,Totes,Frye,Green,OS,N,Y,N,"",$135.00,$180.00,$7.45,$0.00,$0.00,$0.00,$0.00,$100.55,VA,23464,jmc3388,$8.11,$0.00,"",
08/05/2020,07/16/2021,"",60f247bff9de513cae6abd11,🆕Swell Aquamarine 17oz (stone collection) bottle,Women,Accessories,"",Swell,Blue,OS,N,Y,Y,"",$22.00,$35.00,$0.00,$0.00,$0.00,$0.00,$0.00,$17.60,RI,02806,anw515,$2.06,$0.00,"",
07/10/2021,07/20/2021,"",60f6cd3a0bee62f11bb9a1b8,"🆕Pikolinos Sagunto Laceup/Zip, BLK, sz 37",Women,Shoes,Heeled Boots,PIKOLINOS,Black,7,N,N,N,"",$158.00,$158.00,$7.45,$0.00,$0.00,$0.00,$0.00,$118.95,NJ,07605,juliam0m,$0.00,$0.00,This sale is exempt from sales tax.,
08/30/2020,07/25/2021,"",60fcef7bef34d314330e9d7c,Frye Casey Tote - charcoal,Women,Bags,Totes,Frye,"Brown,Gray",OS,N,Y,N,"",$70.00,$120.00,$2.46,$0.00,$0.00,$0.00,$0.00,$53.54,LA,71403,delmhp1wgn983lw,$5.92,$0.00,"",
09/04/2020,07/25/2021,"",60fe2435a00e17a9be9e44bb,"🆕Pikolinos Modena, Nata (Cream/Beige), sz 37",Women,Shoes,Sneakers,PIKOLINOS,"Cream,Brown",7,N,Y,Y,"",$50.00,$81.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,UT,84092,sicelybuxton,$3.63,$0.00,"",
08/04/2020,07/26/2021,"",60ff6a01cdb4787a39f6346c,Kenneth Cole - Odette - Navy Blue - Sz 8,Women,Shoes,Wedges,Kenneth Cole,Blue,8,N,Y,N,"",$35.00,$51.00,$7.45,$0.00,$0.00,$0.00,$0.00,$20.55,FL,34990,fountainww,$2.28,$0.00,"",
07/11/2021,08/06/2021,"",610d466d3169b21571015f77,"🆕Aquatalia Avery Embossed Sneakers, White, sz 7.5",Women,Shoes,Sneakers,Aquatalia,White,7.5,N,Y,Y,"",$60.00,$122.00,$0.00,$0.00,$0.00,$0.00,$0.00,$48.00,MI,49022,abonmarche,$4.05,$0.00,"",
09/07/2019,08/09/2021,"",61112d93727b3ee19b9dc67f,Frye Campus Passport Wallet - Walnut (never used),Women,Bags,Wallets,Frye,Brown,OS,N,N,N,"",$100.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$80.00,MA,02474,jpstanton43,$6.25,$0.00,"",
08/15/2019,08/17/2021,"",611b978a02c187a4905dbcb0,Frye Saddle Button Crossbody - Light Green,Women,Bags,Crossbody Bags,Frye,Green,OS,N,Y,N,"",$35.00,$77.00,$2.46,$0.00,$0.00,$0.00,$0.00,$25.54,LA,71360,zeepaardje,$3.49,$0.00,"",
